Month End,Current (Arrival) Region,Current (Arrival) District,Previous (Departure) Region,Previous (Departure) District,Reason,Current (Arrival) Priority Need,nrind,year,week
31/03/2017,Hiraan,Belet Weyne,Hiraan,Bulo Burto,Drought related,Other,432,2017,10
31/03/2017,Hiraan,Belet Weyne,Hiraan,Belet Weyne,Drought related,Shelter,420,2017,10
31/03/2017,Hiraan,Belet Weyne,Hiraan,Belet Weyne,Drought related,Shelter,390,2017,11
30/06/2019,Banadir,Banadir,Hiraan,Belet Weyne,Conflict/Insecurity,Shelter,360,2019,23
31/07/2017,Togdheer,Buuhoodle,Hiraan,Jalalaqsi,Drought related,Livelihood Support,350,2017,30
30/04/2017,Hiraan,Belet Weyne,Hiraan,Belet Weyne,Drought related,Food,324,2017,17
31/07/2017,Togdheer,Buuhoodle,Hiraan,Belet Weyne,Drought related,Shelter,323,2017,27
30/09/2018,Hiraan,Belet Weyne,Hiraan,Belet Weyne,Conflict/Insecurity,Food,312,2018,39
31/05/2018,Bakool,Tayeeglow,Hiraan,Belet Weyne,Flood,Food,300,2018,18
31/05/2018,Bakool,Tayeeglow,Hiraan,Belet Weyne,Flood,Food,300,2018,19
31/05/2018,Bakool,Tayeeglow,Hiraan,Belet Weyne,Flood,Food,300,2018,20
31/01/2019,Hiraan,Bulo Burto,Hiraan,Bulo Burto,Drought related,Food,294,2019,4
30/06/2017,Sool,Caynabo,Hiraan,Belet Weyne,Drought related,Water,290,2017,26
31/03/2017,Hiraan,Belet Weyne,Hiraan,Belet Weyne,Drought related,Shelter,283,2017,11
31/07/2017,Togdheer,Buuhoodle,Hiraan,Jalalaqsi,Drought related,Shelter,278,2017,27
31/03/2017,Hiraan,Belet Weyne,Hiraan,Bulo Burto,Drought related,Shelter,276,2017,12
31/01/2019,Hiraan,Bulo Burto,Hiraan,Bulo Burto,Drought related,Food,270,2019,4
31/01/2019,Hiraan,Bulo Burto,Hiraan,Bulo Burto,Drought related,Food,259,2019,5
31/05/2017,Mudug,Gaalkacyo,Hiraan,Bulo Burto,Drought related,Livelihood Support,256,2017,18
30/06/2017,Togdheer,Buuhoodle,Hiraan,Belet Weyne,Drought related,Food,250,2017,26
31/01/2019,Hiraan,Bulo Burto,Hiraan,Bulo Burto,Drought related,Food,249,2019,5
31/07/2017,Togdheer,Buuhoodle,Hiraan,Jalalaqsi,Drought related,Food,245,2017,28
31/03/2017,Hiraan,Belet Weyne,Hiraan,Bulo Burto,Drought related,Other,240,2017,12
31/07/2017,Togdheer,Buuhoodle,Hiraan,Belet Weyne,Drought related,Livelihood Support,234,2017,27
31/07/2017,Togdheer,Buuhoodle,Hiraan,Jalalaqsi,Drought related,Livelihood Support,215,2017,29
31/07/2017,Togdheer,Buuhoodle,Hiraan,Belet Weyne,Drought related,Shelter,205,2017,30
30/06/2017,Sool,Laas Caanood,Hiraan,Bulo Burto,Drought related,Food,200,2017,25
31/12/2018,Bari,Bossaso,Hiraan,Belet Weyne,Drought related,Food,200,2018,50
31/03/2017,Hiraan,Belet Weyne,Hiraan,Belet Weyne,Drought related,Food,198,2017,13
31/05/2018,Banadir,Banadir,Hiraan,Belet Weyne,Flood,Other,192,2018,21
28/02/2019,Hiraan,Jalalaqsi,Hiraan,Jalalaqsi,Drought related,Food,185,2019,8
31/05/2016,Bakool,Tayeeglow,Hiraan,Belet Weyne,Flood,Food,183,2016,21
31/03/2017,Hiraan,Belet Weyne,Hiraan,Belet Weyne,Drought related,Other,180,2017,11
31/03/2017,Hiraan,Belet Weyne,Hiraan,Bulo Burto,Drought related,Shelter,180,2017,12
30/04/2018,Hiraan,Belet Weyne,Hiraan,Belet Weyne,Flood,Other,180,2018,17
31/07/2018,Banadir,Banadir,Hiraan,Jalalaqsi,Conflict/Insecurity,Food,180,2018,28
31/12/2017,Hiraan,Belet Weyne,Hiraan,Belet Weyne,Drought related,Food,168,2017,52
31/03/2017,Hiraan,Belet Weyne,Hiraan,Belet Weyne,Drought related,Shelter,167,2017,11
31/03/2017,Hiraan,Belet Weyne,Hiraan,Bulo Burto,Drought related,Food,162,2017,11
31/05/2018,Banadir,Banadir,Hiraan,Belet Weyne,Flood,Shelter,162,2018,21
31/07/2019,Hiraan,Belet Weyne,Hiraan,Bulo Burto,Drought related,Food,162,2019,30
31/07/2017,Sool,Laas Caanood,Hiraan,Bulo Burto,Drought related,Food,157,2017,27
31/03/2017,Hiraan,Belet Weyne,Hiraan,Belet Weyne,Drought related,Shelter,150,2017,10
30/06/2017,Sool,Laas Caanood,Hiraan,Belet Weyne,Drought related,Food,150,2017,26
30/06/2017,Sool,Laas Caanood,Hiraan,Jalalaqsi,Drought related,Water,150,2017,24
31/07/2017,Togdheer,Buuhoodle,Hiraan,Jalalaqsi,Drought related,Shelter,150,2017,28
31/05/2018,Bakool,Ceel Barde,Hiraan,Belet Weyne,Flood,Livelihood Support,150,2018,19
31/03/2017,Hiraan,Belet Weyne,Hiraan,Belet Weyne,Drought related,Food,146,2017,9
31/03/2017,Hiraan,Belet Weyne,Hiraan,Bulo Burto,Drought related,Shelter,144,2017,11
31/07/2019,Hiraan,Bulo Burto,Hiraan,Bulo Burto,Drought related,Food,143,2019,28
28/02/2017,Hiraan,Belet Weyne,Hiraan,Belet Weyne,Drought related,Shelter,132,2017,7
31/12/2018,Hiraan,Bulo Burto,Hiraan,Bulo Burto,Drought related,Food,132,2018,50
30/06/2019,Hiraan,Belet Weyne,Hiraan,Belet Weyne,Drought related,Food,132,2019,26
31/05/2018,Bakool,Tayeeglow,Hiraan,Belet Weyne,Flood,Food,130,2018,18
31/07/2017,Togdheer,Buuhoodle,Hiraan,Belet Weyne,Drought related,Food,129,2017,28
31/03/2019,Hiraan,Bulo Burto,Hiraan,Bulo Burto,Drought related,Food,129,2019,10
30/06/2019,Hiraan,Bulo Burto,Hiraan,Bulo Burto,Drought related,Food,126,2019,26
31/07/2019,Hiraan,Bulo Burto,Hiraan,Bulo Burto,Drought related,Other,126,2019,29
31/07/2017,Togdheer,Buuhoodle,Hiraan,Belet Weyne,Drought related,Food,125,2017,27
31/08/2017,Togdheer,Buuhoodle,Hiraan,Bulo Burto,Drought related,Livelihood Support,125,2017,31
31/05/2018,Banadir,Banadir,Hiraan,Belet Weyne,Flood,Food,125,2018,20
31/07/2017,Togdheer,Buuhoodle,Hiraan,Belet Weyne,Drought related,Livelihood Support,124,2017,27
30/04/2019,Hiraan,Belet Weyne,Hiraan,Belet Weyne,Drought related,Food,123,2019,17
31/07/2019,Hiraan,Bulo Burto,Hiraan,Bulo Burto,Drought related,Food,123,2019,30
31/07/2017,Sool,Laas Caanood,Hiraan,Belet Weyne,Drought related,Water,120,2017,28
31/07/2017,Sool,Laas Caanood,Hiraan,Jalalaqsi,Drought related,Food,120,2017,27
31/07/2017,Togdheer,Buuhoodle,Hiraan,Belet Weyne,Drought related,Shelter,120,2017,30
31/07/2017,Togdheer,Buuhoodle,Hiraan,Bulo Burto,Drought related,Livelihood Support,120,2017,27
31/05/2018,Bakool,Tayeeglow,Hiraan,Belet Weyne,Flood,Shelter,120,2018,18
31/03/2017,Hiraan,Belet Weyne,Hiraan,Bulo Burto,Drought related,Shelter,114,2017,12
31/05/2018,Banadir,Banadir,Hiraan,Belet Weyne,Flood,Shelter,114,2018,21
31/01/2019,Hiraan,Bulo Burto,Hiraan,Bulo Burto,Drought related,Food,113,2019,4
28/02/2019,Hiraan,Bulo Burto,Hiraan,Bulo Burto,Drought related,Food,112,2019,6
30/04/2018,Banadir,Banadir,Hiraan,Belet Weyne,Flood,Water,111,2018,18
31/07/2017,Sool,Laas Caanood,Hiraan,Bulo Burto,Drought related,Water,110,2017,28
28/02/2017,Hiraan,Belet Weyne,Hiraan,Belet Weyne,Drought related,Shelter,108,2017,8
31/05/2019,Hiraan,Bulo Burto,Hiraan,Bulo Burto,Drought related,Food,108,2019,18
31/03/2017,Hiraan,Belet Weyne,Hiraan,Belet Weyne,Drought related,Shelter,102,2017,11
30/04/2017,Bari,Bossaso,Hiraan,Belet Weyne,Drought related,Food,100,2017,16
30/11/2018,Bakool,Tayeeglow,Hiraan,Belet Weyne,Conflict/Insecurity,Other,100,2018,45
30/09/2018,Hiraan,Belet Weyne,Hiraan,Belet Weyne,Conflict/Insecurity,Food,79,2018,38
31/05/2018,Nugaal,Garoowe,Hiraan,Belet Weyne,Flood,Livelihood Support,72,2018,20
30/09/2018,Hiraan,Bulo Burto,Hiraan,Bulo Burto,Drought related,Food,63,2018,37
31/07/2019,Hiraan,Bulo Burto,Hiraan,Bulo Burto,Drought related,Food,58,2019,30
31/12/2018,Mudug,Gaalkacyo,Hiraan,Belet Weyne,Drought related,Livelihood Support,54,2018,52
31/05/2018,Banadir,Banadir,Hiraan,Belet Weyne,Flood,Food,52,2018,18
28/02/2019,Hiraan,Bulo Burto,Hiraan,Bulo Burto,Drought related,Food,51,2019,6
31/05/2018,Nugaal,Garoowe,Hiraan,Belet Weyne,Flood,Livelihood Support,50,2018,19
31/08/2018,Nugaal,Garoowe,Hiraan,Bulo Burto,Drought related,Livelihood Support,48,2018,32
28/02/2017,Banadir,Banadir,Hiraan,Bulo Burto,Drought related,Food,46,2017,8
31/05/2018,Banadir,Banadir,Hiraan,Belet Weyne,Flood,Water,44,2018,19
31/03/2019,Hiraan,Bulo Burto,Hiraan,Bulo Burto,Drought related,Food,44,2019,12
31/08/2018,Hiraan,Bulo Burto,Hiraan,Bulo Burto,Conflict/Insecurity,Food,40,2018,34
30/09/2018,Hiraan,Belet Weyne,Hiraan,Belet Weyne,Conflict/Insecurity,Food,40,2018,38
28/02/2019,Hiraan,Bulo Burto,Hiraan,Bulo Burto,Drought related,Other,34,2019,6
30/06/2018,Banadir,Banadir,Hiraan,Belet Weyne,Flood,Other,32,2018,22
31/08/2018,Hiraan,Bulo Burto,Hiraan,Bulo Burto,Drought related,Food,31,2018,34
31/12/2018,Mudug,Gaalkacyo,Hiraan,Belet Weyne,Drought related,Shelter,31,2018,52
31/08/2016,Banadir,Banadir,Hiraan,Jalalaqsi,Drought related,Shelter,30,2016,32
31/05/2018,Bari,Bossaso,Hiraan,Belet Weyne,Flood,Food,30,2018,20
31/05/2016,Banadir,Banadir,Hiraan,Jalalaqsi,Conflict/Insecurity,Food,27,2016,20
30/04/2017,Banadir,Banadir,Hiraan,Jalalaqsi,Drought related,Food,26,2017,16
31/05/2018,Banadir,Banadir,Hiraan,Belet Weyne,Flood,Water,26,2018,19
31/12/2018,Mudug,Gaalkacyo,Hiraan,Belet Weyne,Drought related,Shelter,26,2018,51
28/02/2019,Hiraan,Belet Weyne,Hiraan,Belet Weyne,Drought related,Other,26,2019,7
30/11/2017,Banadir,Banadir,Hiraan,Jalalaqsi,Drought related,Food,25,2017,44
31/05/2018,Banadir,Banadir,Hiraan,Jalalaqsi,Drought related,Food,25,2018,19
31/05/2018,Bari,Bossaso,Hiraan,Belet Weyne,Flood,Food,25,2018,20
30/11/2018,Bari,Bossaso,Hiraan,Belet Weyne,Drought related,Livelihood Support,25,2018,45
31/05/2018,Banadir,Banadir,Hiraan,Belet Weyne,Flood,Food,24,2018,18
31/05/2018,Banadir,Banadir,Hiraan,Belet Weyne,Flood,Food,24,2018,18
31/05/2018,Bari,Bossaso,Hiraan,Belet Weyne,Flood,Food,24,2018,19
31/07/2018,Mudug,Gaalkacyo,Hiraan,Belet Weyne,Drought related,Shelter,24,2018,30
31/10/2018,Banadir,Banadir,Hiraan,Bulo Burto,Conflict/Insecurity,Food,24,2018,40
31/07/2019,Hiraan,Belet Weyne,Hiraan,Belet Weyne,Drought related,Food,24,2019,28
31/12/2017,Nugaal,Garoowe,Hiraan,Belet Weyne,Conflict/Insecurity,Shelter,23,2017,51
31/01/2018,Bari,Bossaso,Hiraan,Belet Weyne,Drought related,Food,23,2018,3
31/05/2018,Nugaal,Garoowe,Hiraan,Belet Weyne,Flood,Livelihood Support,23,2018,19
31/08/2017,Banadir,Banadir,Hiraan,Jalalaqsi,Drought related,Food,22,2017,33
31/05/2018,Mudug,Gaalkacyo,Hiraan,Belet Weyne,Flood,Food,22,2018,20
31/05/2018,Nugaal,Garoowe,Hiraan,Belet Weyne,Flood,Livelihood Support,22,2018,20
30/11/2018,Banadir,Banadir,Hiraan,Jalalaqsi,Conflict/Insecurity,Food,22,2018,45
31/01/2019,Bari,Bossaso,Hiraan,Belet Weyne,Drought related,Shelter,22,2019,3
31/03/2019,Bari,Qardho,Hiraan,Bulo Burto,Drought related,Livelihood Support,22,2019,9
31/07/2019,Hiraan,Belet Weyne,Hiraan,Belet Weyne,Drought related,Food,22,2019,27
30/04/2018,Banadir,Banadir,Hiraan,Belet Weyne,Flood,Livelihood Support,21,2018,17
30/09/2017,Banadir,Banadir,Hiraan,Jalalaqsi,Drought related,Food,20,2017,36
31/03/2018,Banadir,Banadir,Hiraan,Belet Weyne,Drought related,Food,20,2018,9
30/06/2018,Mudug,Gaalkacyo,Hiraan,Belet Weyne,Drought related,Livelihood Support,20,2018,26
30/09/2018,Banadir,Banadir,Hiraan,Jalalaqsi,Conflict/Insecurity,Water,20,2018,39
30/11/2018,Bari,Qardho,Hiraan,Belet Weyne,Drought related,Food,20,2018,47
31/01/2018,Bari,Bossaso,Hiraan,Jalalaqsi,Drought related,Food,19,2018,3
31/03/2018,Mudug,Gaalkacyo,Hiraan,Belet Weyne,Other,Water,19,2018,10
31/05/2018,Bari,Qardho,Hiraan,Belet Weyne,Flood,Livelihood Support,19,2018,20
31/05/2018,Mudug,Gaalkacyo,Hiraan,Belet Weyne,Flood,Livelihood Support,19,2018,20
31/10/2018,Banadir,Banadir,Hiraan,Bulo Burto,Drought related,Other,19,2018,41
31/05/2019,Banadir,Banadir,Hiraan,Bulo Burto,Drought related,Food,19,2019,18
31/07/2019,Bakool,Waajid,Hiraan,Jalalaqsi,Drought related,Food,19,2019,27
30/06/2016,Bakool,Tayeeglow,Hiraan,Belet Weyne,Drought related,Food,18,2016,24
30/11/2016,Banadir,Banadir,Hiraan,Jalalaqsi,Conflict/Insecurity,Other,18,2016,46
28/02/2017,Banadir,Banadir,Hiraan,Jalalaqsi,Drought related,Shelter,18,2017,9
31/08/2018,Banadir,Banadir,Hiraan,Bulo Burto,Conflict/Insecurity,Food,18,2018,34
30/04/2016,Banadir,Banadir,Hiraan,Bulo Burto,Conflict/Insecurity,Other,17,2016,14
30/09/2016,Banadir,Banadir,Hiraan,Bulo Burto,Conflict/Insecurity,Food,17,2016,38
31/01/2018,Mudug,Gaalkacyo,Hiraan,Belet Weyne,Drought related,Shelter,17,2018,5
31/05/2018,Bari,Bossaso,Hiraan,Belet Weyne,Flood,Water,17,2018,20
31/05/2018,Bari,Bossaso,Hiraan,Belet Weyne,Flood,Health,17,2018,20
31/05/2018,Bari,Qardho,Hiraan,Belet Weyne,Conflict/Insecurity,Food,17,2018,21
31/05/2018,Bari,Qardho,Hiraan,Belet Weyne,Flood,Livelihood Support,17,2018,21
31/05/2018,Mudug,Gaalkacyo,Hiraan,Belet Weyne,Flood,Shelter,17,2018,20
30/06/2018,Bari,Bossaso,Hiraan,Belet Weyne,Flood,Food,17,2018,22
30/06/2018,Bari,Qardho,Hiraan,Belet Weyne,Drought related,Food,17,2018,23
31/10/2018,Banadir,Banadir,Hiraan,Bulo Burto,Conflict/Insecurity,Food,17,2018,42
30/11/2018,Bari,Bossaso,Hiraan,Belet Weyne,Drought related,Shelter,17,2018,45
31/01/2019,Bakool,Rab Dhuure,Hiraan,Jalalaqsi,Drought related,Food,17,2019,2
30/06/2017,Bari,Qardho,Hiraan,Belet Weyne,Drought related,Other,16,2017,26
28/02/2018,Banadir,Banadir,Hiraan,Bulo Burto,Drought related,Food,16,2018,8
28/02/2018,Bari,Bossaso,Hiraan,Belet Weyne,Drought related,Shelter,16,2018,7
30/06/2018,Bari,Bossaso,Hiraan,Belet Weyne,Flood,Livelihood Support,16,2018,22
30/06/2018,Bari,Qardho,Hiraan,Belet Weyne,Drought related,Livelihood Support,16,2018,26
31/10/2018,Banadir,Banadir,Hiraan,Bulo Burto,Drought related,Food,16,2018,44
31/12/2018,Mudug,Gaalkacyo,Hiraan,Belet Weyne,Drought related,Livelihood Support,16,2018,52
31/03/2016,Mudug,Gaalkacyo,Hiraan,Belet Weyne,Drought related,Shelter,15,2016,12
31/08/2016,Banadir,Banadir,Hiraan,Jalalaqsi,Conflict/Insecurity,Food,15,2016,31
31/05/2017,Banadir,Banadir,Hiraan,Jalalaqsi,Conflict/Insecurity,Other,15,2017,22
31/07/2017,Banadir,Banadir,Hiraan,Bulo Burto,Conflict/Insecurity,Health,15,2017,29
31/08/2017,Banadir,Banadir,Hiraan,Bulo Burto,Drought related,Water,15,2017,34
30/09/2017,Banadir,Banadir,Hiraan,Jalalaqsi,Drought related,Water,15,2017,36
31/01/2018,Mudug,Gaalkacyo,Hiraan,Jalalaqsi,Drought related,Livelihood Support,15,2018,2
31/03/2018,Banadir,Banadir,Hiraan,Bulo Burto,Drought related,Food,15,2018,9
31/03/2018,Banadir,Banadir,Hiraan,Jalalaqsi,Drought related,Food,15,2018,13
31/07/2018,Banadir,Banadir,Hiraan,Belet Weyne,Drought related,Food,15,2018,30
31/07/2018,Banadir,Banadir,Hiraan,Jalalaqsi,Conflict/Insecurity,Food,15,2018,28
31/07/2018,Mudug,Gaalkacyo,Hiraan,Belet Weyne,Drought related,Food,15,2018,31
31/07/2017,Banadir,Banadir,Hiraan,Bulo Burto,Conflict/Insecurity,Food,14,2017,29
30/11/2017,Mudug,Gaalkacyo,Hiraan,Jalalaqsi,Drought related,Transport,14,2017,47
31/07/2018,Banadir,Banadir,Hiraan,Belet Weyne,Drought related,Food,14,2018,30
31/07/2018,Banadir,Banadir,Hiraan,Bulo Burto,Drought related,Food,14,2018,28
31/08/2018,Banadir,Banadir,Hiraan,Belet Weyne,Conflict/Insecurity,Food,14,2018,31
31/10/2018,Banadir,Banadir,Hiraan,Bulo Burto,Conflict/Insecurity,Food,14,2018,41
30/11/2018,Bari,Bossaso,Hiraan,Belet Weyne,Drought related,Livelihood Support,14,2018,45
31/01/2019,Bari,Qardho,Hiraan,Belet Weyne,Drought related,Health,14,2019,5
30/09/2017,Bari,Qardho,Hiraan,Belet Weyne,Drought related,Livelihood Support,13,2017,38
30/11/2017,Mudug,Gaalkacyo,Hiraan,Belet Weyne,Drought related,Shelter,13,2017,47
31/01/2018,Woqooyi Galbeed,Hargeysa,Hiraan,Belet Weyne,Drought related,Water,13,2018,1
30/04/2018,Banadir,Banadir,Hiraan,Belet Weyne,Flood,Livelihood Support,13,2018,17
31/05/2018,Bari,Bossaso,Hiraan,Belet Weyne,Flood,Food,13,2018,18
31/05/2018,Bari,Bossaso,Hiraan,Belet Weyne,Flood,Food,13,2018,18
31/05/2018,Bari,Bossaso,Hiraan,Belet Weyne,Flood,Shelter,13,2018,19
31/05/2018,Bari,Bossaso,Hiraan,Belet Weyne,Flood,Food,13,2018,20
31/10/2018,Banadir,Banadir,Hiraan,Jalalaqsi,Conflict/Insecurity,Other,13,2018,40
30/04/2019,Bari,Qardho,Hiraan,Belet Weyne,Drought related,Livelihood Support,13,2019,17
31/05/2019,Bari,Qardho,Hiraan,Belet Weyne,Drought related,Livelihood Support,13,2019,22
31/05/2019,Mudug,Gaalkacyo,Hiraan,Belet Weyne,Drought related,Livelihood Support,13,2019,18
31/05/2016,Bay,Baidoa,Hiraan,Belet Weyne,Flood,Livelihood Support,12,2016,21
30/06/2016,Bakool,Tayeeglow,Hiraan,Belet Weyne,Drought related,Other,12,2016,24
30/06/2016,Bakool,Tayeeglow,Hiraan,Belet Weyne,Drought related,Shelter,12,2016,24
30/06/2016,Bay,Baidoa,Hiraan,Belet Weyne,Flood,Shelter,12,2016,23
31/07/2016,Bakool,Tayeeglow,Hiraan,Bulo Burto,Conflict/Insecurity,Food,12,2016,29
31/08/2016,Banadir,Banadir,Hiraan,Jalalaqsi,Drought related,Food,12,2016,32
31/05/2018,Banadir,Banadir,Hiraan,Belet Weyne,Flood,Water,12,2018,22
31/05/2018,Banadir,Banadir,Hiraan,Jalalaqsi,Flood,Food,12,2018,21
31/05/2018,Bari,Bossaso,Hiraan,Belet Weyne,Flood,Livelihood Support,12,2018,19
31/05/2018,Bari,Qardho,Hiraan,Belet Weyne,Flood,Livelihood Support,12,2018,18
31/05/2018,Mudug,Gaalkacyo,Hiraan,Belet Weyne,Flood,Food,12,2018,20
30/06/2018,Mudug,Gaalkacyo,Hiraan,Belet Weyne,Drought related,Livelihood Support,12,2018,23
30/06/2018,Mudug,Gaalkacyo,Hiraan,Belet Weyne,Drought related,Livelihood Support,12,2018,25
31/07/2018,Bari,Qardho,Hiraan,Belet Weyne,Conflict/Insecurity,Food,12,2018,30
31/12/2018,Mudug,Gaalkacyo,Hiraan,Belet Weyne,Drought related,Other,12,2018,52
31/12/2018,Mudug,Gaalkacyo,Hiraan,Belet Weyne,Other,Livelihood Support,12,2018,52
31/03/2016,Bari,Bossaso,Hiraan,Belet Weyne,Other,Protection,11,2016,11
31/03/2016,Mudug,Gaalkacyo,Hiraan,Belet Weyne,Drought related,Other,11,2016,10
31/03/2016,Mudug,Gaalkacyo,Hiraan,Belet Weyne,Drought related,Food,11,2016,12
31/05/2016,Banadir,Banadir,Hiraan,Jalalaqsi,Other,Food,11,2016,18
30/06/2016,Bakool,Tayeeglow,Hiraan,Belet Weyne,Drought related,Food,11,2016,23
30/06/2016,Bakool,Tayeeglow,Hiraan,Belet Weyne,Drought related,Food,11,2016,23
30/06/2016,Banadir,Banadir,Hiraan,Jalalaqsi,Drought related,Food,11,2016,25
31/08/2016,Banadir,Banadir,Hiraan,Belet Weyne,Drought related,Food,11,2016,34
30/06/2017,Bari,Qardho,Hiraan,Belet Weyne,Drought related,Food,11,2017,24
31/08/2017,Banadir,Banadir,Hiraan,Jalalaqsi,Drought related,Water,11,2017,33
31/10/2017,Bari,Bossaso,Hiraan,Belet Weyne,Drought related,Livelihood Support,11,2017,42
31/12/2017,Bari,Qardho,Hiraan,Belet Weyne,Conflict/Insecurity,Livelihood Support,11,2017,51
31/01/2018,Mudug,Gaalkacyo,Hiraan,Belet Weyne,Drought related,Livelihood Support,11,2018,4
31/01/2018,Mudug,Gaalkacyo,Hiraan,Belet Weyne,Drought related,Transport,11,2018,4
31/03/2018,Banadir,Banadir,Hiraan,Jalalaqsi,Drought related,Other,11,2018,10
30/04/2018,Nugaal,Garoowe,Hiraan,Belet Weyne,Flood,Livelihood Support,11,2018,17
31/05/2018,Banadir,Banadir,Hiraan,Belet Weyne,Flood,Water,11,2018,19
31/05/2018,Bari,Qardho,Hiraan,Belet Weyne,Flood,Livelihood Support,11,2018,20
30/06/2018,Banadir,Banadir,Hiraan,Belet Weyne,Flood,Food,11,2018,23
30/06/2018,Banadir,Banadir,Hiraan,Belet Weyne,Flood,Food,11,2018,23
31/10/2018,Mudug,Gaalkacyo,Hiraan,Belet Weyne,Drought related,Shelter,11,2018,40
31/10/2018,Mudug,Gaalkacyo,Hiraan,Belet Weyne,Drought related,Shelter,11,2018,40
28/02/2019,Banadir,Banadir,Hiraan,Jalalaqsi,Conflict/Insecurity,Water,11,2019,7
31/03/2019,Banadir,Banadir,Hiraan,Belet Weyne,Conflict/Insecurity,Food,11,2019,10
31/03/2019,Bari,Bossaso,Hiraan,Bulo Burto,Drought related,Food,11,2019,11
31/07/2019,Bari,Qardho,Hiraan,Belet Weyne,Drought related,Livelihood Support,11,2019,27
31/03/2016,Bari,Bossaso,Hiraan,Belet Weyne,Drought related,Livelihood Support,10,2016,12
31/03/2016,Bari,Bossaso,Hiraan,Belet Weyne,Other,Shelter,10,2016,11
31/05/2016,Mudug,Gaalkacyo,Hiraan,Belet Weyne,Drought related,Health,10,2016,20
