Previous (Departure) Region,Reason,nrind,year,week
Lower Shabelle,Conflict/Insecurity,480,2017,22
Lower Shabelle,Conflict/Insecurity,875,2017,21
Lower Shabelle,Conflict/Insecurity,1670,2017,21
Lower Shabelle,Conflict/Insecurity,300,2017,22
Lower Shabelle,Conflict/Insecurity,5,2017,22
Lower Shabelle,Conflict/Insecurity,905,2017,22
Lower Shabelle,Conflict/Insecurity,618,2017,22
Lower Shabelle,Conflict/Insecurity,444,2017,22
Lower Shabelle,Conflict/Insecurity,228,2017,22
Lower Shabelle,Conflict/Insecurity,270,2017,23
Lower Shabelle,Conflict/Insecurity,180,2017,23
Lower Shabelle,Conflict/Insecurity,1689,2017,23
Lower Shabelle,Conflict/Insecurity,525,2017,23
Lower Shabelle,Conflict/Insecurity,195,2017,23
Lower Shabelle,Conflict/Insecurity,414,2017,23
Lower Shabelle,Conflict/Insecurity,200,2017,23
Lower Shabelle,Conflict/Insecurity,420,2017,23
Lower Shabelle,Conflict/Insecurity,126,2017,23
Lower Shabelle,Conflict/Insecurity,948,2017,24
Lower Shabelle,Conflict/Insecurity,1256,2017,24
Lower Shabelle,Conflict/Insecurity,946,2017,24
Lower Shabelle,Conflict/Insecurity,240,2017,24
Lower Shabelle,Conflict/Insecurity,102,2017,23
Lower Shabelle,Conflict/Insecurity,350,2017,23
Lower Shabelle,Conflict/Insecurity,926,2017,23
Lower Shabelle,Conflict/Insecurity,150,2017,23
Lower Shabelle,Conflict/Insecurity,475,2017,23
Lower Shabelle,Conflict/Insecurity,572,2017,23
Lower Shabelle,Conflict/Insecurity,480,2017,23
Lower Shabelle,Conflict/Insecurity,210,2017,30
Lower Shabelle,Conflict/Insecurity,4,2017,30
Lower Shabelle,Conflict/Insecurity,3,2017,30
Lower Shabelle,Conflict/Insecurity,10,2017,30
Lower Shabelle,Conflict/Insecurity,432,2017,28
Lower Shabelle,Conflict/Insecurity,714,2017,28
Lower Shabelle,Conflict/Insecurity,750,2017,30
Lower Shabelle,Conflict/Insecurity,417,2017,30
Lower Shabelle,Conflict/Insecurity,4,2017,30
Lower Shabelle,Conflict/Insecurity,9,2017,30
Lower Shabelle,Conflict/Insecurity,461,2017,30
Lower Shabelle,Conflict/Insecurity,10,2017,30
Lower Shabelle,Conflict/Insecurity,500,2017,26
Lower Shabelle,Conflict/Insecurity,462,2017,27
Lower Shabelle,Conflict/Insecurity,730,2017,27
Lower Shabelle,Conflict/Insecurity,144,2017,27
Lower Shabelle,Conflict/Insecurity,1440,2017,27
Lower Shabelle,Conflict/Insecurity,230,2017,27
Lower Shabelle,Conflict/Insecurity,6,2017,27
Lower Shabelle,Conflict/Insecurity,522,2017,27
Lower Shabelle,Conflict/Insecurity,150,2017,27
Lower Shabelle,Conflict/Insecurity,1025,2017,27
Lower Shabelle,Conflict/Insecurity,390,2017,27
Lower Shabelle,Conflict/Insecurity,1500,2017,27
Lower Shabelle,Conflict/Insecurity,870,2017,27
Lower Shabelle,Conflict/Insecurity,350,2017,27
Lower Shabelle,Conflict/Insecurity,972,2017,27
Lower Shabelle,Conflict/Insecurity,222,2017,27
Lower Shabelle,Conflict/Insecurity,1622,2017,27
Lower Shabelle,Conflict/Insecurity,480,2017,27
Lower Shabelle,Conflict/Insecurity,102,2017,28
Lower Shabelle,Conflict/Insecurity,210,2017,28
Lower Shabelle,Conflict/Insecurity,1791,2017,28
Lower Shabelle,Conflict/Insecurity,420,2017,28
Lower Shabelle,Conflict/Insecurity,162,2017,28
Lower Shabelle,Conflict/Insecurity,12,2017,28
Lower Shabelle,Conflict/Insecurity,7,2017,28
Lower Shabelle,Conflict/Insecurity,708,2017,28
Lower Shabelle,Conflict/Insecurity,258,2017,29
Lower Shabelle,Conflict/Insecurity,102,2017,29
Lower Shabelle,Conflict/Insecurity,312,2017,29
Lower Shabelle,Conflict/Insecurity,542,2017,29
Lower Shabelle,Conflict/Insecurity,422,2017,29
Lower Shabelle,Conflict/Insecurity,924,2017,30
Lower Shabelle,Conflict/Insecurity,420,2017,30
Lower Shabelle,Conflict/Insecurity,438,2017,30
Lower Shabelle,Conflict/Insecurity,280,2017,30
Lower Shabelle,Conflict/Insecurity,28,2017,30
Lower Shabelle,Conflict/Insecurity,300,2017,30
Lower Shabelle,Conflict/Insecurity,171,2017,30
Lower Shabelle,Conflict/Insecurity,8,2017,30
Lower Shabelle,Conflict/Insecurity,25,2017,30
Lower Shabelle,Conflict/Insecurity,13,2017,30
Lower Shabelle,Conflict/Insecurity,7,2017,31
Lower Shabelle,Conflict/Insecurity,144,2017,29
Lower Shabelle,Conflict/Insecurity,330,2017,30
Lower Shabelle,Conflict/Insecurity,180,2017,30
Lower Shabelle,Conflict/Insecurity,216,2017,28
Lower Shabelle,Conflict/Insecurity,6,2017,30
Lower Shabelle,Conflict/Insecurity,561,2017,26
Lower Shabelle,Conflict/Insecurity,450,2017,27
Lower Shabelle,Conflict/Insecurity,700,2017,27
Lower Shabelle,Conflict/Insecurity,1700,2017,30
Lower Shabelle,Conflict/Insecurity,2400,2017,31
Lower Shabelle,Conflict/Insecurity,510,2017,26
Lower Shabelle,Conflict/Insecurity,990,2017,26
Lower Shabelle,Conflict/Insecurity,915,2017,27
Lower Shabelle,Conflict/Insecurity,525,2017,27
Lower Shabelle,Conflict/Insecurity,470,2017,27
Lower Shabelle,Conflict/Insecurity,665,2017,27
Lower Shabelle,Conflict/Insecurity,660,2017,27
Lower Shabelle,Conflict/Insecurity,4030,2017,30
Lower Shabelle,Conflict/Insecurity,5150,2017,31
Lower Shabelle,Conflict/Insecurity,580,2017,27
Lower Shabelle,Conflict/Insecurity,900,2017,31
Lower Shabelle,Conflict/Insecurity,130,2017,32
Lower Shabelle,Conflict/Insecurity,210,2017,33
Lower Shabelle,Conflict/Insecurity,52,2017,34
Lower Shabelle,Conflict/Insecurity,36,2017,34
Lower Shabelle,Conflict/Insecurity,17,2017,35
Lower Shabelle,Conflict/Insecurity,23,2017,35
Lower Shabelle,Conflict/Insecurity,9,2017,35
Lower Shabelle,Conflict/Insecurity,327,2017,31
Lower Shabelle,Conflict/Insecurity,180,2017,31
Lower Shabelle,Conflict/Insecurity,237,2017,31
Lower Shabelle,Conflict/Insecurity,102,2017,31
Lower Shabelle,Conflict/Insecurity,252,2017,32
Lower Shabelle,Conflict/Insecurity,705,2017,32
Lower Shabelle,Conflict/Insecurity,282,2017,32
Lower Shabelle,Conflict/Insecurity,440,2017,32
Lower Shabelle,Conflict/Insecurity,102,2017,32
Lower Shabelle,Conflict/Insecurity,474,2017,32
Lower Shabelle,Conflict/Insecurity,756,2017,32
Lower Shabelle,Conflict/Insecurity,7,2017,32
Lower Shabelle,Conflict/Insecurity,31,2017,33
Lower Shabelle,Conflict/Insecurity,199,2017,33
Lower Shabelle,Conflict/Insecurity,45,2017,33
Lower Shabelle,Conflict/Insecurity,258,2017,33
Lower Shabelle,Conflict/Insecurity,480,2017,33
Lower Shabelle,Conflict/Insecurity,342,2017,33
Lower Shabelle,Conflict/Insecurity,1,2017,33
Lower Shabelle,Conflict/Insecurity,150,2017,33
Lower Shabelle,Conflict/Insecurity,246,2017,34
Lower Shabelle,Conflict/Insecurity,660,2017,35
Lower Shabelle,Conflict/Insecurity,2100,2017,34
Lower Shabelle,Conflict/Insecurity,128,2017,32
Lower Shabelle,Conflict/Insecurity,250,2017,33
Lower Shabelle,Conflict/Insecurity,3210,2017,31
Lower Shabelle,Conflict/Insecurity,2530,2017,31
Lower Shabelle,Conflict/Insecurity,270,2017,31
Lower Shabelle,Conflict/Insecurity,1360,2017,31
Lower Shabelle,Conflict/Insecurity,650,2017,31
Lower Shabelle,Conflict/Insecurity,1155,2017,32
Lower Shabelle,Conflict/Insecurity,3380,2017,33
Lower Shabelle,Conflict/Insecurity,16,2017,35
Lower Shabelle,Conflict/Insecurity,15,2017,35
Lower Shabelle,Conflict/Insecurity,12,2017,35
Lower Shabelle,Conflict/Insecurity,12,2017,35
Lower Shabelle,Conflict/Insecurity,378,2017,36
Lower Shabelle,Conflict/Insecurity,900,2017,37
Lower Shabelle,Conflict/Insecurity,240,2017,38
Lower Shabelle,Conflict/Insecurity,5,2017,35
Lower Shabelle,Conflict/Insecurity,102,2017,35
Lower Shabelle,Conflict/Insecurity,127,2017,37
Lower Shabelle,Conflict/Insecurity,360,2017,37
Lower Shabelle,Conflict/Insecurity,114,2017,37
Lower Shabelle,Conflict/Insecurity,840,2017,38
Lower Shabelle,Conflict/Insecurity,516,2017,38
Lower Shabelle,Conflict/Insecurity,258,2017,36
Lower Shabelle,Conflict/Insecurity,960,2017,38
Lower Shabelle,Conflict/Insecurity,360,2017,38
Lower Shabelle,Conflict/Insecurity,618,2017,38
Lower Shabelle,Conflict/Insecurity,966,2017,38
Lower Shabelle,Conflict/Insecurity,1496,2017,38
Lower Shabelle,Conflict/Insecurity,5,2017,38
Lower Shabelle,Conflict/Insecurity,12,2017,38
Lower Shabelle,Conflict/Insecurity,312,2017,37
Lower Shabelle,Conflict/Insecurity,73,2017,40
Lower Shabelle,Conflict/Insecurity,16,2017,40
Lower Shabelle,Conflict/Insecurity,155,2017,41
Lower Shabelle,Conflict/Insecurity,12,2017,41
Lower Shabelle,Conflict/Insecurity,240,2017,41
Lower Shabelle,Conflict/Insecurity,238,2017,41
Lower Shabelle,Conflict/Insecurity,356,2017,42
Lower Shabelle,Conflict/Insecurity,246,2017,42
Lower Shabelle,Conflict/Insecurity,150,2017,43
Lower Shabelle,Conflict/Insecurity,9,2017,43
Lower Shabelle,Conflict/Insecurity,180,2017,43
Lower Shabelle,Conflict/Insecurity,180,2017,40
Lower Shabelle,Conflict/Insecurity,25,2017,41
Lower Shabelle,Conflict/Insecurity,356,2017,41
Lower Shabelle,Conflict/Insecurity,132,2017,43
Lower Shabelle,Conflict/Insecurity,420,2017,40
Lower Shabelle,Conflict/Insecurity,558,2017,40
Lower Shabelle,Conflict/Insecurity,240,2017,40
Lower Shabelle,Conflict/Insecurity,370,2017,40
Lower Shabelle,Conflict/Insecurity,178,2017,40
Lower Shabelle,Conflict/Insecurity,512,2017,40
Lower Shabelle,Conflict/Insecurity,102,2017,40
Lower Shabelle,Conflict/Insecurity,180,2017,41
Lower Shabelle,Conflict/Insecurity,330,2017,41
Lower Shabelle,Conflict/Insecurity,105,2017,41
Lower Shabelle,Conflict/Insecurity,9,2017,41
Lower Shabelle,Conflict/Insecurity,4,2017,41
Lower Shabelle,Conflict/Insecurity,100,2017,42
Lower Shabelle,Conflict/Insecurity,20,2017,42
Lower Shabelle,Conflict/Insecurity,210,2017,42
Lower Shabelle,Conflict/Insecurity,11,2017,43
Lower Shabelle,Conflict/Insecurity,150,2017,43
Lower Shabelle,Conflict/Insecurity,144,2017,43
Lower Shabelle,Conflict/Insecurity,270,2017,42
Lower Shabelle,Conflict/Insecurity,10,2017,42
Lower Shabelle,Conflict/Insecurity,146,2017,42
Lower Shabelle,Conflict/Insecurity,160,2017,42
Lower Shabelle,Conflict/Insecurity,7,2017,42
Lower Shabelle,Conflict/Insecurity,131,2017,44
Lower Shabelle,Conflict/Insecurity,26,2017,44
Lower Shabelle,Conflict/Insecurity,7,2017,44
Lower Shabelle,Conflict/Insecurity,6,2017,44
Lower Shabelle,Conflict/Insecurity,34,2017,44
Lower Shabelle,Conflict/Insecurity,62,2017,44
Lower Shabelle,Conflict/Insecurity,234,2017,45
Lower Shabelle,Conflict/Insecurity,6,2017,45
Lower Shabelle,Conflict/Insecurity,228,2017,45
Lower Shabelle,Conflict/Insecurity,132,2017,46
Lower Shabelle,Conflict/Insecurity,108,2017,46
Lower Shabelle,Conflict/Insecurity,534,2017,46
Lower Shabelle,Conflict/Insecurity,6,2017,46
Lower Shabelle,Conflict/Insecurity,450,2017,46
Lower Shabelle,Conflict/Insecurity,53,2017,46
Lower Shabelle,Conflict/Insecurity,7,2017,46
Lower Shabelle,Conflict/Insecurity,450,2017,46
Lower Shabelle,Conflict/Insecurity,655,2017,46
Lower Shabelle,Conflict/Insecurity,6,2017,46
Lower Shabelle,Conflict/Insecurity,126,2017,46
Lower Shabelle,Conflict/Insecurity,112,2017,46
Lower Shabelle,Conflict/Insecurity,113,2017,46
Lower Shabelle,Conflict/Insecurity,1530,2017,47
Lower Shabelle,Conflict/Insecurity,126,2017,47
Lower Shabelle,Conflict/Insecurity,22,2017,47
Lower Shabelle,Conflict/Insecurity,64,2017,47
Lower Shabelle,Conflict/Insecurity,210,2017,48
Lower Shabelle,Conflict/Insecurity,180,2017,44
Lower Shabelle,Conflict/Insecurity,23,2017,45
Lower Shabelle,Conflict/Insecurity,4,2017,45
Lower Shabelle,Conflict/Insecurity,54,2017,44
Lower Shabelle,Conflict/Insecurity,13,2017,44
Lower Shabelle,Conflict/Insecurity,210,2017,44
Lower Shabelle,Conflict/Insecurity,102,2017,44
Lower Shabelle,Conflict/Insecurity,192,2017,45
Lower Shabelle,Conflict/Insecurity,240,2017,45
Lower Shabelle,Conflict/Insecurity,384,2017,44
Lower Shabelle,Conflict/Insecurity,262,2017,44
Lower Shabelle,Conflict/Insecurity,315,2017,44
Lower Shabelle,Conflict/Insecurity,6,2017,44
Lower Shabelle,Conflict/Insecurity,170,2017,44
Lower Shabelle,Conflict/Insecurity,20,2017,45
Lower Shabelle,Conflict/Insecurity,138,2017,45
Lower Shabelle,Conflict/Insecurity,61,2017,45
Lower Shabelle,Conflict/Insecurity,19,2017,45
Lower Shabelle,Conflict/Insecurity,9,2017,47
Lower Shabelle,Conflict/Insecurity,8,2017,48
Lower Shabelle,Conflict/Insecurity,9,2017,48
Lower Shabelle,Conflict/Insecurity,100,2017,48
Lower Shabelle,Conflict/Insecurity,8,2017,48
Lower Shabelle,Conflict/Insecurity,18,2017,48
Lower Shabelle,Conflict/Insecurity,516,2017,45
Lower Shabelle,Conflict/Insecurity,687,2017,45
Lower Shabelle,Conflict/Insecurity,505,2017,45
Lower Shabelle,Conflict/Insecurity,517,2017,46
Lower Shabelle,Conflict/Insecurity,432,2017,46
Lower Shabelle,Conflict/Insecurity,363,2017,46
Lower Shabelle,Conflict/Insecurity,102,2017,46
Lower Shabelle,Conflict/Insecurity,569,2017,48
Lower Shabelle,Conflict/Insecurity,180,2017,48
Lower Shabelle,Conflict/Insecurity,12,2017,48
Lower Shabelle,Conflict/Insecurity,6,2017,47
Lower Shabelle,Conflict/Insecurity,8,2017,46
Lower Shabelle,Conflict/Insecurity,9,2017,48
Lower Shabelle,Conflict/Insecurity,5,2017,46
Lower Shabelle,Conflict/Insecurity,4,2017,46
Lower Shabelle,Conflict/Insecurity,8,2017,45
Lower Shabelle,Conflict/Insecurity,12,2017,46
Lower Shabelle,Conflict/Insecurity,3,2017,48
Lower Shabelle,Conflict/Insecurity,3,2017,48
Lower Shabelle,Conflict/Insecurity,2,2017,45
Lower Shabelle,Conflict/Insecurity,8,2017,45
Lower Shabelle,Conflict/Insecurity,8,2017,45
Lower Shabelle,Conflict/Insecurity,6,2017,46
Lower Shabelle,Conflict/Insecurity,5,2017,47
Lower Shabelle,Conflict/Insecurity,13,2017,47
Lower Shabelle,Conflict/Insecurity,19,2017,48
Lower Shabelle,Conflict/Insecurity,12,2017,48
Lower Shabelle,Conflict/Insecurity,24,2017,48
Lower Shabelle,Conflict/Insecurity,7,2017,48
Lower Shabelle,Conflict/Insecurity,64,2017,48
Lower Shabelle,Conflict/Insecurity,4,2017,49
Lower Shabelle,Conflict/Insecurity,6,2017,49
Lower Shabelle,Conflict/Insecurity,4,2017,49
Lower Shabelle,Conflict/Insecurity,642,2017,49
Lower Shabelle,Conflict/Insecurity,10,2017,49
Lower Shabelle,Conflict/Insecurity,5,2017,49
Lower Shabelle,Conflict/Insecurity,120,2017,49
Lower Shabelle,Conflict/Insecurity,138,2017,49
Lower Shabelle,Conflict/Insecurity,180,2017,49
Lower Shabelle,Conflict/Insecurity,108,2017,50
Lower Shabelle,Conflict/Insecurity,148,2017,50
Lower Shabelle,Conflict/Insecurity,650,2017,50
Lower Shabelle,Conflict/Insecurity,150,2017,50
Lower Shabelle,Conflict/Insecurity,180,2017,51
Lower Shabelle,Conflict/Insecurity,7,2017,51
Lower Shabelle,Conflict/Insecurity,47,2017,51
Lower Shabelle,Conflict/Insecurity,8,2017,51
Lower Shabelle,Conflict/Insecurity,102,2017,51
Lower Shabelle,Conflict/Insecurity,102,2017,51
Lower Shabelle,Conflict/Insecurity,366,2017,51
Lower Shabelle,Conflict/Insecurity,13,2017,51
Lower Shabelle,Conflict/Insecurity,6,2017,52
Lower Shabelle,Conflict/Insecurity,6,2017,52
Lower Shabelle,Conflict/Insecurity,180,2017,52
Lower Shabelle,Conflict/Insecurity,6,2017,52
Lower Shabelle,Conflict/Insecurity,6,2017,52
Lower Shabelle,Conflict/Insecurity,150,2017,52
Lower Shabelle,Conflict/Insecurity,7,2017,48
Lower Shabelle,Conflict/Insecurity,58,2017,49
Lower Shabelle,Conflict/Insecurity,6,2017,49
Lower Shabelle,Conflict/Insecurity,6,2017,49
Lower Shabelle,Conflict/Insecurity,6,2017,49
Lower Shabelle,Conflict/Insecurity,6,2017,50
Lower Shabelle,Conflict/Insecurity,5,2017,50
Lower Shabelle,Conflict/Insecurity,6,2017,50
Lower Shabelle,Conflict/Insecurity,17,2017,50
Lower Shabelle,Conflict/Insecurity,6,2017,50
Lower Shabelle,Conflict/Insecurity,12,2017,51
Lower Shabelle,Conflict/Insecurity,11,2017,51
Lower Shabelle,Conflict/Insecurity,11,2017,51
Lower Shabelle,Conflict/Insecurity,6,2017,51
Lower Shabelle,Conflict/Insecurity,6,2017,52
Lower Shabelle,Conflict/Insecurity,6,2017,52
Lower Shabelle,Conflict/Insecurity,7,2017,52
Lower Shabelle,Conflict/Insecurity,6,2017,52
Lower Shabelle,Conflict/Insecurity,12,2017,52
Lower Shabelle,Conflict/Insecurity,9,2017,50
Lower Shabelle,Conflict/Insecurity,3,2017,50
Lower Shabelle,Conflict/Insecurity,174,2017,50
Lower Shabelle,Conflict/Insecurity,150,2017,51
Lower Shabelle,Conflict/Insecurity,180,2017,51
Lower Shabelle,Conflict/Insecurity,180,2017,52
Lower Shabelle,Conflict/Insecurity,6,2017,50
Lower Shabelle,Conflict/Insecurity,25,2017,50
Lower Shabelle,Conflict/Insecurity,5,2017,50
Lower Shabelle,Conflict/Insecurity,16,2017,50
Lower Shabelle,Conflict/Insecurity,9,2017,50
Lower Shabelle,Conflict/Insecurity,215,2017,50
Lower Shabelle,Conflict/Insecurity,6,2017,51
Lower Shabelle,Conflict/Insecurity,7,2017,51
Lower Shabelle,Conflict/Insecurity,150,2017,51
Lower Shabelle,Conflict/Insecurity,150,2017,52
Lower Shabelle,Conflict/Insecurity,132,2017,52
Lower Shabelle,Conflict/Insecurity,108,2017,50
Lower Shabelle,Conflict/Insecurity,6,2017,50
Lower Shabelle,Conflict/Insecurity,210,2017,50
Lower Shabelle,Conflict/Insecurity,5,2017,50
Lower Shabelle,Conflict/Insecurity,323,2017,50
Lower Shabelle,Conflict/Insecurity,5,2017,50
Lower Shabelle,Conflict/Insecurity,10,2017,50
Lower Shabelle,Conflict/Insecurity,6,2017,50
Lower Shabelle,Conflict/Insecurity,7,2017,51
Lower Shabelle,Conflict/Insecurity,330,2017,51
Lower Shabelle,Conflict/Insecurity,7,2017,48
Lower Shabelle,Conflict/Insecurity,7,2017,48
Lower Shabelle,Conflict/Insecurity,9,2017,49
Lower Shabelle,Conflict/Insecurity,26,2017,49
Lower Shabelle,Conflict/Insecurity,3,2017,52
Lower Shabelle,Conflict/Insecurity,5,2017,52
Lower Shabelle,Conflict/Insecurity,4,2017,50
Lower Shabelle,Conflict/Insecurity,20,2017,49
Lower Shabelle,Conflict/Insecurity,20,2017,49
Lower Shabelle,Conflict/Insecurity,128,2017,49
Lower Shabelle,Conflict/Insecurity,10,2017,49
Lower Shabelle,Conflict/Insecurity,5,2017,50
Lower Shabelle,Conflict/Insecurity,17,2017,50
Lower Shabelle,Conflict/Insecurity,34,2017,50
Lower Shabelle,Conflict/Insecurity,6,2017,52
Lower Shabelle,Conflict/Insecurity,4,2017,52
Lower Shabelle,Conflict/Insecurity,5,2017,52
Lower Shabelle,Conflict/Insecurity,10,2017,51
Lower Shabelle,Conflict/Insecurity,7,2017,49
Lower Shabelle,Conflict/Insecurity,3,2017,49
Lower Shabelle,Conflict/Insecurity,4,2017,50
Lower Shabelle,Conflict/Insecurity,7,2017,49
Lower Shabelle,Conflict/Insecurity,6,2017,49
Lower Shabelle,Conflict/Insecurity,9,2017,50
Lower Shabelle,Conflict/Insecurity,9,2017,51
Lower Shabelle,Conflict/Insecurity,162,2018,1
Lower Shabelle,Conflict/Insecurity,42,2018,1
Lower Shabelle,Conflict/Insecurity,26,2018,1
Lower Shabelle,Conflict/Insecurity,546,2018,1
Lower Shabelle,Conflict/Insecurity,246,2018,1
Lower Shabelle,Conflict/Insecurity,180,2018,1
Lower Shabelle,Conflict/Insecurity,180,2018,1
Lower Shabelle,Conflict/Insecurity,97,2018,1
Lower Shabelle,Conflict/Insecurity,126,2018,2
Lower Shabelle,Conflict/Insecurity,294,2018,2
Lower Shabelle,Conflict/Insecurity,7,2018,2
Lower Shabelle,Conflict/Insecurity,18,2018,2
Lower Shabelle,Conflict/Insecurity,114,2018,2
Lower Shabelle,Conflict/Insecurity,287,2018,2
Lower Shabelle,Conflict/Insecurity,7,2018,2
Lower Shabelle,Conflict/Insecurity,74,2018,2
Lower Shabelle,Conflict/Insecurity,120,2018,2
Lower Shabelle,Conflict/Insecurity,9,2018,2
Lower Shabelle,Conflict/Insecurity,31,2018,2
Lower Shabelle,Conflict/Insecurity,420,2018,2
Lower Shabelle,Conflict/Insecurity,26,2018,3
Lower Shabelle,Conflict/Insecurity,426,2018,3
Lower Shabelle,Conflict/Insecurity,564,2018,3
Lower Shabelle,Conflict/Insecurity,120,2018,3
Lower Shabelle,Conflict/Insecurity,52,2018,3
Lower Shabelle,Conflict/Insecurity,456,2018,4
Lower Shabelle,Conflict/Insecurity,384,2018,4
Lower Shabelle,Conflict/Insecurity,300,2018,4
Lower Shabelle,Conflict/Insecurity,240,2018,4
Lower Shabelle,Conflict/Insecurity,1068,2018,4
Lower Shabelle,Conflict/Insecurity,810,2018,4
Lower Shabelle,Conflict/Insecurity,480,2018,5
Lower Shabelle,Conflict/Insecurity,420,2018,5
Lower Shabelle,Conflict/Insecurity,144,2018,1
Lower Shabelle,Conflict/Insecurity,45,2018,2
Lower Shabelle,Conflict/Insecurity,24,2018,1
Lower Shabelle,Conflict/Insecurity,138,2018,1
Lower Shabelle,Conflict/Insecurity,33,2018,2
Lower Shabelle,Conflict/Insecurity,216,2018,2
Lower Shabelle,Conflict/Insecurity,114,2018,1
Lower Shabelle,Conflict/Insecurity,204,2018,1
Lower Shabelle,Conflict/Insecurity,5,2018,2
Lower Shabelle,Conflict/Insecurity,6,2018,2
Lower Shabelle,Conflict/Insecurity,56,2018,2
Lower Shabelle,Conflict/Insecurity,6,2018,2
Lower Shabelle,Conflict/Insecurity,282,2018,3
Lower Shabelle,Conflict/Insecurity,258,2018,3
Lower Shabelle,Conflict/Insecurity,444,2018,4
Lower Shabelle,Conflict/Insecurity,102,2018,1
Lower Shabelle,Conflict/Insecurity,14,2018,1
Lower Shabelle,Conflict/Insecurity,150,2018,1
Lower Shabelle,Conflict/Insecurity,120,2018,1
Lower Shabelle,Conflict/Insecurity,120,2018,2
Lower Shabelle,Conflict/Insecurity,6,2018,3
Lower Shabelle,Conflict/Insecurity,70,2018,3
Lower Shabelle,Conflict/Insecurity,480,2018,4
Lower Shabelle,Conflict/Insecurity,16,2018,3
Lower Shabelle,Conflict/Insecurity,9,2018,3
Lower Shabelle,Conflict/Insecurity,81,2018,3
Lower Shabelle,Conflict/Insecurity,26,2018,3
Lower Shabelle,Conflict/Insecurity,13,2018,4
Lower Shabelle,Conflict/Insecurity,15,2018,4
Lower Shabelle,Conflict/Insecurity,16,2018,4
Lower Shabelle,Conflict/Insecurity,8,2018,4
Lower Shabelle,Conflict/Insecurity,222,2018,5
Lower Shabelle,Conflict/Insecurity,186,2018,5
Lower Shabelle,Conflict/Insecurity,11,2018,6
Lower Shabelle,Conflict/Insecurity,8,2018,6
Lower Shabelle,Conflict/Insecurity,13,2018,6
Lower Shabelle,Conflict/Insecurity,240,2018,6
Lower Shabelle,Conflict/Insecurity,7,2018,6
Lower Shabelle,Conflict/Insecurity,18,2018,6
Lower Shabelle,Conflict/Insecurity,1052,2018,6
Lower Shabelle,Conflict/Insecurity,212,2018,6
Lower Shabelle,Conflict/Insecurity,4,2018,6
Lower Shabelle,Conflict/Insecurity,9,2018,6
Lower Shabelle,Conflict/Insecurity,9,2018,7
Lower Shabelle,Conflict/Insecurity,222,2018,7
Lower Shabelle,Conflict/Insecurity,144,2018,7
Lower Shabelle,Conflict/Insecurity,239,2018,7
